Arquivo,Vertices,Arestas,Densidade,Representacao,Algoritmo,Direcionado,Execucao,Tempo(ns)
grafos/sample100-3960.gr,100,3960,0.4,Matriz,Dijkstra,Dirigido,9,197000
grafos/sample100-3960.gr,100,3960,0.4,Matriz,Dijkstra,Dirigido,10,192600
grafos/sample100-3960.gr,100,3960,0.4,Lista,Bellman-Ford,Dirigido,1,18641000
grafos/sample100-3960.gr,100,3960,0.4,Lista,Bellman-Ford,Dirigido,2,16525800
grafos/sample100-3960.gr,100,3960,0.4,Lista,Bellman-Ford,Dirigido,3,15095000
grafos/sample100-3960.gr,100,3960,0.4,Lista,Bellman-Ford,Dirigido,4,14503800
grafos/sample100-3960.gr,100,3960,0.4,Lista,Bellman-Ford,Dirigido,5,19493200
grafos/sample100-3960.gr,100,3960,0.4,Lista,Bellman-Ford,Dirigido,6,18927300
grafos/sample100-3960.gr,100,3960,0.4,Lista,Bellman-Ford,Dirigido,7,17428800
grafos/sample100-3960.gr,100,3960,0.4,Lista,Bellman-Ford,Dirigido,8,18725600
grafos/sample100-3960.gr,100,3960,0.4,Lista,Bellman-Ford,Dirigido,9,18316700
grafos/sample100-3960.gr,100,3960,0.4,Lista,Bellman-Ford,Dirigido,10,14732700
grafos/sample100-3960.gr,100,3960,0.4,Matriz,Bellman-Ford,Dirigido,1,1589400
grafos/sample100-3960.gr,100,3960,0.4,Matriz,Bellman-Ford,Dirigido,2,1129000
grafos/sample100-3960.gr,100,3960,0.4,Matriz,Bellman-Ford,Dirigido,3,1082500
grafos/sample100-3960.gr,100,3960,0.4,Matriz,Bellman-Ford,Dirigido,4,1124500
grafos/sample100-3960.gr,100,3960,0.4,Matriz,Bellman-Ford,Dirigido,5,1127700
grafos/sample100-3960.gr,100,3960,0.4,Matriz,Bellman-Ford,Dirigido,6,1106200
grafos/sample100-3960.gr,100,3960,0.4,Matriz,Bellman-Ford,Dirigido,7,1153300
grafos/sample100-3960.gr,100,3960,0.4,Matriz,Bellman-Ford,Dirigido,8,1029500
grafos/sample100-3960.gr,100,3960,0.4,Matriz,Bellman-Ford,Dirigido,9,1017100
grafos/sample100-3960.gr,100,3960,0.4,Matriz,Bellman-Ford,Dirigido,10,1007500
grafos/sample100-5940.gr,100,5940,0.6,Lista,Dijkstra,Dirigido,1,1367200
grafos/sample100-5940.gr,100,5940,0.6,Lista,Dijkstra,Dirigido,2,1040600
grafos/sample100-5940.gr,100,5940,0.6,Lista,Dijkstra,Dirigido,3,971500
grafos/sample100-5940.gr,100,5940,0.6,Lista,Dijkstra,Dirigido,4,1010000
grafos/sample100-5940.gr,100,5940,0.6,Lista,Dijkstra,Dirigido,5,1344100
grafos/sample100-5940.gr,100,5940,0.6,Lista,Dijkstra,Dirigido,6,982600
grafos/sample100-5940.gr,100,5940,0.6,Lista,Dijkstra,Dirigido,7,901100
grafos/sample100-5940.gr,100,5940,0.6,Lista,Dijkstra,Dirigido,8,1049900
grafos/sample100-5940.gr,100,5940,0.6,Lista,Dijkstra,Dirigido,9,826100
grafos/sample100-5940.gr,100,5940,0.6,Lista,Dijkstra,Dirigido,10,1077300
grafos/sample100-5940.gr,100,5940,0.6,Matriz,Dijkstra,Dirigido,1,608300
grafos/sample100-5940.gr,100,5940,0.6,Matriz,Dijkstra,Dirigido,2,331200
grafos/sample100-5940.gr,100,5940,0.6,Matriz,Dijkstra,Dirigido,3,256900
grafos/sample100-5940.gr,100,5940,0.6,Matriz,Dijkstra,Dirigido,4,300200
grafos/sample100-5940.gr,100,5940,0.6,Matriz,Dijkstra,Dirigido,5,194000
grafos/sample100-5940.gr,100,5940,0.6,Matriz,Dijkstra,Dirigido,6,193100
grafos/sample100-5940.gr,100,5940,0.6,Matriz,Dijkstra,Dirigido,7,182800
grafos/sample100-5940.gr,100,5940,0.6,Matriz,Dijkstra,Dirigido,8,205500
grafos/sample100-5940.gr,100,5940,0.6,Matriz,Dijkstra,Dirigido,9,190500
grafos/sample100-5940.gr,100,5940,0.6,Matriz,Dijkstra,Dirigido,10,185300
grafos/sample100-5940.gr,100,5940,0.6,Lista,Bellman-Ford,Dirigido,1,5427000
grafos/sample100-5940.gr,100,5940,0.6,Lista,Bellman-Ford,Dirigido,2,6404900
grafos/sample100-5940.gr,100,5940,0.6,Lista,Bellman-Ford,Dirigido,3,6119600
grafos/sample100-5940.gr,100,5940,0.6,Lista,Bellman-Ford,Dirigido,4,5144800
grafos/sample100-5940.gr,100,5940,0.6,Lista,Bellman-Ford,Dirigido,5,6205300
grafos/sample100-5940.gr,100,5940,0.6,Lista,Bellman-Ford,Dirigido,6,8669900
grafos/sample100-5940.gr,100,5940,0.6,Lista,Bellman-Ford,Dirigido,7,5148900
grafos/sample100-5940.gr,100,5940,0.6,Lista,Bellman-Ford,Dirigido,8,6825100
grafos/sample100-5940.gr,100,5940,0.6,Lista,Bellman-Ford,Dirigido,9,4532600
grafos/sample100-5940.gr,100,5940,0.6,Lista,Bellman-Ford,Dirigido,10,4724900
grafos/sample100-5940.gr,100,5940,0.6,Matriz,Bellman-Ford,Dirigido,1,2512000
grafos/sample100-5940.gr,100,5940,0.6,Matriz,Bellman-Ford,Dirigido,2,2490900
grafos/sample100-5940.gr,100,5940,0.6,Matriz,Bellman-Ford,Dirigido,3,2390600
grafos/sample100-5940.gr,100,5940,0.6,Matriz,Bellman-Ford,Dirigido,4,1517100
grafos/sample100-5940.gr,100,5940,0.6,Matriz,Bellman-Ford,Dirigido,5,1349600
grafos/sample100-5940.gr,100,5940,0.6,Matriz,Bellman-Ford,Dirigido,6,1310000
grafos/sample100-5940.gr,100,5940,0.6,Matriz,Bellman-Ford,Dirigido,7,1295300
grafos/sample100-5940.gr,100,5940,0.6,Matriz,Bellman-Ford,Dirigido,8,1367100
